excel_row,column,before,after,species_on_that_row
3,subfamily (A),,Apostasioideae,borneensis
4,genus (E),,Neuwiedia,veratrifolia
4,subfamily (A),,Apostasioideae,veratrifolia
5,genus (E),,Neuwiedia,zollingeri
5,subfamily (A),,Apostasioideae,zollingeri
7,subfamily (A),,Cypripedioideae,arietinum
8,subfamily (A),,Cypripedioideae,bardolphianum
9,subfamily (A),,Cypripedioideae,calceolus
10,subfamily (A),,Cypripedioideae,californicum
11,subfamily (A),,Cypripedioideae,candidum
12,subfamily (A),,Cypripedioideae,dickinsonianum
13,subfamily (A),,Cypripedioideae,fasciculatum
14,subfamily (A),,Cypripedioideae,fargesii
15,subfamily (A),,Cypripedioideae,flavum
16,subfamily (A),,Cypripedioideae,guttatum
17,subfamily (A),,Cypripedioideae,henryi
18,subfamily (A),,Cypripedioideae,japonicum
19,subfamily (A),,Cypripedioideae,kentuckiense
20,subfamily (A),,Cypripedioideae,leutiginosum
21,subfamily (A),,Cypripedioideae,lichoangense
22,subfamily (A),,Cypripedioideae,macranthos
23,subfamily (A),,Cypripedioideae,micranthum
24,subfamily (A),,Cypripedioideae,montanum
25,subfamily (A),,Cypripedioideae,parviflorum
26,subfamily (A),,Cypripedioideae,parviflorum
27,subfamily (A),,Cypripedioideae,passerinum
28,subfamily (A),,Cypripedioideae,passerinum
29,subfamily (A),,Cypripedioideae,passerinum
30,subfamily (A),,Cypripedioideae,plectrochilum
33,subfamily (A),,Cypripedioideae,reginae
34,subfamily (A),,Cypripedioideae,sichuanense
35,subfamily (A),,Cypripedioideae,smithii
36,subfamily (A),,Cypripedioideae,subtropicum
37,subfamily (A),,Cypripedioideae,tibeticum
38,subfamily (A),,Cypripedioideae,yunnanense
40,subfamily (A),,Cypripedioideae,barbigerum
41,subfamily (A),,Cypripedioideae,bellatulum
42,subfamily (A),,Cypripedioideae,callosum
43,subfamily (A),,Cypripedioideae,charlesworthii
44,subfamily (A),,Cypripedioideae,dianthum
45,subfamily (A),,Cypripedioideae,hirsutissimum
46,subfamily (A),,Cypripedioideae,insigne
47,subfamily (A),,Cypripedioideae,lowii
48,subfamily (A),,Cypripedioideae,mastersianum
49,subfamily (A),,Cypripedioideae,micranthum
52,subfamily (A),,Cypripedioideae,parishii
53,subfamily (A),,Cypripedioideae,purpuratum
54,subfamily (A),,Cypripedioideae,rothschildianum
55,subfamily (A),,Cypripedioideae,sanderianum
