"genus","gbif_name","gbif_rank","gbif_family","gbif_class","match_type","confidence","resolution","flag"
"Allodapini",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Andrenidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Anthomyiidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Anthophorini",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Augochlorine",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Augochlorini",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Bracnoidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Braconidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Calliphoridae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Ceratopogonidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Chironomidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Cimbicidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Colletidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Culicidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Cynipidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Diapriidsae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Drosophilidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Dryinidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Dynshtid",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"El",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Elateridae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Euglossines",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Eumenidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Eupavlovskia",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Gelechioidea",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Haemmorhagis",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Halictid",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Halictidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Hesperiidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Hesperiinae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Holiini",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
"Keroplatidae",NA,NA,NA,NA,NA,NA,"unresolved",TRUE
