excel_row,column,before,after
9,pollinators (AF),"DIPTERA: Eristalis rupium, E. austriaca, Platycheirus albimanus, Chrysotoxum festivum, Syrphus ribesii (Syprphidae), Musca autumnalis, M. corvina (Muscidae).  HYMENOPTERA: Andrena albicans, A. bicolor, A. bucephala, A. carantonica, A. chrysosceles, A. cineraria, A. flavipes, A. florea A. fucata, A. jacobi, A. haemorrhoa, A. helvola, A. jacobi, A. lapponica, A. limata, A. nigroaenea, A. nitida, A. praecox, A. rogenhoferi, A. subopaca, A. taraxaci, A. tibialis (Andrenidae);  Nomada panzeri (Apidae);  Colletes cunicularis (Colletidae);  Halcitus rubicundus, H. tumulorum, Lasioglossum albipes, L. bavaricum, L. bluethgeni, L. morio, L. calceatum, L. fratellum, L. fulvicorne, L. laevigatum, L. leucozonium, L. marginatum, L. morio, L. quadrinotatum (Halictidae);  Hoplocampa plagiata (Tenthredinidae). ","DIPTERA: Eristalis rupium, E. austriaca, Platycheirus albimanus, Chrysotoxum festivum, Syrphus ribesii (Syprphidae), Musca autumnalis, M. corvina (Muscidae).  HYMENOPTERA: Andrena albicans, A. bicolor, A. bucephala, A. carantonica, A. chrysosceles, A. cineraria, A. flavipes, A. florea A. fucata, A. jacobi, A. haemorrhoa, A. helvola, A. jacobi, A. lapponica, A. limata, A. nigroaenea, A. nitida, A. praecox, A. rogenhoferi, A. subopaca, A. taraxaci, A. tibialis (Andrenidae);  Nomada panzeri (Apidae);  Colletes cunicularis (Colletidae);  Halictus rubicundus, H. tumulorum, Lasioglossum albipes, L. bavaricum, L. bluethgeni, L. morio, L. calceatum, L. fratellum, L. fulvicorne, L. laevigatum, L. leucozonium, L. marginatum, L. morio, L. quadrinotatum (Halictidae);  Hoplocampa plagiata (Tenthredinidae). "
11,pollinators (AF),"DIPTERA:  Toxomerus marginatus (Syrphidae).  HEMIPTERA:  Cosmopepla lintneriana (Pentatomidae).  HYMENOPTERA:   Andrena placida (Andrenidae);  Apis mellifera, Certaina calcarata, C. dupla (Apidae);  Augochlorella striata, Halictus confusus, H. ligatus, Lasioglossum anomalum, L. cressoni, L. rohweri, L. cinctipes, L. atlanticus, L.. pilosus (Halictidae).  ","DIPTERA:  Toxomerus marginatus (Syrphidae).  HEMIPTERA:  Cosmopepla lintneriana (Pentatomidae).  HYMENOPTERA:   Andrena placida (Andrenidae);  Apis mellifera, Ceratina calcarata, C. dupla (Apidae);  Augochlorella striata, Halictus confusus, H. ligatus, Lasioglossum anomalum, L. cressoni, L. rohweri, L. cinctipes, L. atlanticus, L.. pilosus (Halictidae).  "
19,pollinators (AF),"HYEMNOPTERA:  Anthophora abrupta, A. bomboides (Apidae);  Lasioglossum coriaceum, L. obscurum (Halictidae).","HYMENOPTERA:  Anthophora abrupta, A. bomboides (Apidae);  Lasioglossum coriaceum, L. obscurum (Halictidae)."
135,pollinators (AF),"DIPTERA: Eristalis tenax, E. cerealis, Criorhina sp. (Syriphidae).  HYMENOPTERA:  Bombus patagiatus (Apidae)","DIPTERA: Eristalis tenax, E. cerealis, Criorhina sp. (Syrphidae).  HYMENOPTERA:  Bombus patagiatus (Apidae)"
190,pollinators (AF),DIPTERA:  Empis spp. (Empidae); Ocyptamus cooeruleus (Syrphidae).  HYMENOPTERA:   Andrena sp. (Andrenidae),DIPTERA:  Empis spp. (Empididae); Ocyptamus cooeruleus (Syrphidae).  HYMENOPTERA:   Andrena sp. (Andrenidae)
312,pollinators (AF),LEPIDOPTERA:   Euphyes leptosema (Hesperidae);  Heliconius erato (Nymphalidae),LEPIDOPTERA:   Euphyes leptosema (Hesperiidae);  Heliconius erato (Nymphalidae)
340,pollinators (AF),"LEPIDOPTERA:  Sphingidae, Hesperidae","LEPIDOPTERA:  Sphingidae, Hesperiidae"
353,pollinators (AF),"AVES: Elvira cupreiceps (Trochilidae).  LEPIDOPTERA: Papilio polyxenes, P. arcas (Papilionidae);  Ascia monuste, Eurema daira (Pieridae);  Anartia fatima, A. jatrophe, Agraulis vanillae, Closyne sp, Phyciodes claudina (Nymphaidae);  Danaus gilippus, D. plexippus (Danaidae). ","AVES: Elvira cupreiceps (Trochilidae).  LEPIDOPTERA: Papilio polyxenes, P. arcas (Papilionidae);  Ascia monuste, Eurema daira (Pieridae);  Anartia fatima, A. jatrophe, Agraulis vanillae, Closyne sp, Phyciodes claudina (Nymphalidae);  Danaus gilippus, D. plexippus (Danaidae). "
395,pollinators (AF),HYMENOPTERA:  Campsomeris columba (Scolidae wasp),HYMENOPTERA:  Campsomeris columba (Scoliidae wasp)
659,pollinators (AF),DIPTERA:  Bactrocera caudata (Tephrididae),DIPTERA:  Bactrocera caudata (Tephritidae)
662,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
685,pollinators (AF),DIPTERA:  Syrphidae; Bactrocera (Tephrididae),DIPTERA:  Syrphidae; Bactrocera (Tephritidae)
686,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
688,pollinators (AF),"DIPTERA:  Bactrocera albistragata, B. caudata (Tephrididae)","DIPTERA:  Bactrocera albistragata, B. caudata (Tephritidae)"
694,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
698,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
702,pollinators (AF),"DIPTERA:  Bactrocera sp., Zeugodacus hochii, Z. cucurbitae (Tephrididae)","DIPTERA:  Bactrocera sp., Zeugodacus hochii, Z. cucurbitae (Tephritidae)"
716,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
734,pollinators (AF),"DIPTERA:  Bactrocera carambolae, B. cf. perpusilla, B. papayae, B. dorsalis, B. cucurbitae (Tephrididae)","DIPTERA:  Bactrocera carambolae, B. cf. perpusilla, B. papayae, B. dorsalis, B. cucurbitae (Tephritidae)"
754,pollinators (AF),DIPTERA:  Bactrocera (Tephrididae),DIPTERA:  Bactrocera (Tephritidae)
764,pollinators (AF),DIPTERA:  Bactrocera dorsalis (Tephrididae fruit flies) ,DIPTERA:  Bactrocera dorsalis (Tephritidae fruit flies) 
817,pollinators (AF),HYMENOPTERA: Ctenooplectra cornuta (Apidae),HYMENOPTERA: Ctenoplectra cornuta (Apidae)
825,pollinators (AF),HYMENOPTERA: Ctenooplectra cornuta (Apidae),HYMENOPTERA: Ctenoplectra cornuta (Apidae)
868,pollinators (AF),HYMENOPTERA:  Hyaelus albonitens ( Colletidae ),HYMENOPTERA:  Hylaeus albonitens ( Colletidae )
925,pollinators (AF),DIPTERA:  Hylemyia juvinalis (Anthomyidae),DIPTERA:  Hylemyia juvinalis (Anthomyiidae)
952,pollinators (AF),HYMENOPTERA:  Bombus lucorum (Apidae);  Halictis malachurus (Halictidae);  Andrena (Andrenidae);  Dolerus sp. (Tenthredionidae sawflies),HYMENOPTERA:  Bombus lucorum (Apidae);  Halictis malachurus (Halictidae);  Andrena (Andrenidae);  Dolerus sp. (Tenthredinidae sawflies)
